	addr	lat	long
0	83 south ave apt e, new canaan, ct 06840	41.143982	-73.492881
1	138 harrison ave, new canaan, ct 06840	41.14176	-73.485327
2	134 harrison ave, new canaan, ct 06840	41.141474	-73.48533
3	142 harrison ave, new canaan, ct 06840	41.141633	-73.484999
4	35 old norwalk rd, new canaan, ct 06840	41.136451	-73.47845
5	165 skyview ln, new canaan, ct 06840	41.119735	-73.522256
6	275 brushy ridge rd, new canaan, ct 06840	41.157022	-73.484379
7	91 dunning rd, new canaan, ct 06840	41.155986	-73.514204
8	72 bank st, new canaan, ct 06840	41.1380847	-73.4930923
9	81 elm pl, new canaan, ct 06840	41.136425	-73.483499
10	1003 silvermine rd, new canaan, ct 06840	41.151458	-73.450968
11	138 forest st unit 1, new canaan, ct 06840	41.152324	-73.493059
12	111 sleepy hollow rd, new canaan, ct 06840	41.176668	-73.491224
13	138 forest st unit 2, new canaan, ct 06840	41.152324	-73.493059
14	109 river st, new canaan, ct 06840	41.1545	-73.492113
15	709 west rd, new canaan, ct 06840	41.174809	-73.524951
16	115 river st, new canaan, ct 06840	41.154651	-73.492398
17	17 autumn ln, new canaan, ct 06840	41.136173	-73.483258
18	315 elm st, new canaan, ct 06840	41.146212	-73.503355
19	43 fairty dr, new canaan, ct 06840	41.13581	-73.490314
20	35 down river rd, new canaan, ct 06840	41.139139	-73.481064
21	97 south ave apt e, new canaan, ct 06840	41.143497	-73.492872
22	909 west rd, new canaan, ct 06840	41.178569	-73.530198
23	264 ponus rdg, new canaan, ct 06840	41.1220897	-73.5189571
24	115 pastures ln, new canaan, ct 06840	41.154907	-73.462704
25	103 pastures ln, new canaan, ct 06840	41.1547399	-73.464149
26	75 pastures ln, new canaan, ct 06840	41.1562606	-73.4658107
27	118 pastures ln, new canaan, ct 06840	41.155422	-73.462653
28	89 pastures ln, new canaan, ct 06840	41.154913	-73.465057
29	83 south ave apt b, new canaan, ct 06840	41.143982	-73.492881
30	309 laurel rd, new canaan, ct 06840	41.178983	-73.487979
31	301 laurel rd, new canaan, ct 06840	41.1792016	-73.4866282
32	47 old norwalk rd, new canaan, ct 06840	41.136306	-73.477966
33	97 south ave apt d, new canaan, ct 06840	41.143497	-73.492872
34	1052 oenoke rdg, new canaan, ct 06840	41.178731	-73.520015
35	223 west rd, new canaan, ct 06840	41.1600759	-73.5155939
36	60 east ave, new canaan, ct 06840	41.14785	-73.489659
37	401 wahackme rd, new canaan, ct 06840	41.148873	-73.5253
38	399 wahackme rd, new canaan, ct 06840	41.14808	-73.524281
39	313 elm st, new canaan, ct 06840	41.145741	-73.50302
40	13 brooks rd, new canaan, ct 06840	41.13708	-73.490183
41	77 richmond hill rd, new canaan, ct 06840	41.14287	-73.49818
42	163 skyview ln, new canaan, ct 06840	41.120171	-73.521977
43	317 elm st, new canaan, ct 06840	41.146386	-73.503234
44	31 shady knoll ln, new canaan, ct 06840	41.120401	-73.5063
45	117 turtle back rd, new canaan, ct 06840	41.173425	-73.518227
46	heritage hill rd unit g79, new canaan, ct 06840	41.1517283	-73.4949126
47	97 south ave apt c, new canaan, ct 06840	41.143497	-73.492872
48	83 south ave apt c, new canaan, ct 06840	41.143982	-73.492881
49	433 country club rd w, new canaan, ct 06840	41.16707	-73.5140459
50	heritage hill rd unit g98, new canaan, ct 06840	41.1517283	-73.4949126
51	95 south ave unit 3, new canaan, ct 06840	41.143338	-73.493099
52	501 spring water ln, new canaan, ct 06840	41.128037	-73.507767
53	28 barnegat rd, new canaan, ct 06840	41.185907	-73.535584
54	442 michigan rd, new canaan, ct 06840	41.188201	-73.517128
55	heritage hill rd unit g24, new canaan, ct 06840	41.1517283	-73.4949126
56	97 south ave apt b, new canaan, ct 06840	41.143497	-73.492872
57	672 oenoke rdg, new canaan, ct 06840	41.166941	-73.51293
58	21 shady knoll ln, new canaan, ct 06840	41.11952	-73.507183
59	101 forest st unit 101, new canaan, ct 06840	41.150939	-73.492301
60	83 south ave unit 1, new canaan, ct 06840	41.143982	-73.492881
61	58 greenley rd, new canaan, ct 06840	41.157409	-73.515144
62	93 south ave unit 93, new canaan, ct 06840	41.143241	-73.493025
63	95 south ave unit 2, new canaan, ct 06840	41.143338	-73.493099
64	275 main st, new canaan, ct 06840	41.142886	-73.487829
65	591 valley rd, new canaan, ct 06840	41.174817	-73.479513
66	556 ponus rdg, new canaan, ct 06840	41.131749	-73.52461
67	165 jelliff mill rd, new canaan, ct 06840	41.11939	-73.506516
68	95 south ave unit 5, new canaan, ct 06840	41.143338	-73.493099
69	95 south ave unit 4, new canaan, ct 06840	41.143338	-73.493099
70	95 south ave unit a, new canaan, ct 06840	41.143338	-73.493099
71	95 south ave unit 6, new canaan, ct 06840	41.143338	-73.493099
72	21 hickory dr, new canaan, ct 06840	41.150087	-73.467844
73	258 park st unit 258, new canaan, ct 06840	41.140682	-73.493948
74	16 e maple st, new canaan, ct 06840	41.145534	-73.4912669
75	536 ponus rdg, new canaan, ct 06840	41.13124	-73.525225
76	99 forest st unit 99, new canaan, ct 06840	41.151084	-73.492417
77	429 carter st, new canaan, ct 06840	41.146565	-73.468064
78	707 west rd, new canaan, ct 06840	41.1737899	-73.524754
79	462 main st, new canaan, ct 06840	41.138798	-73.48223
80	145 turtle back rd, new canaan, ct 06840	41.174719	-73.519872
81	heritage hill rd unit g29, new canaan, ct 06840	41.1517283	-73.4949126
82	25 fairty dr, new canaan, ct 06840	41.135564	-73.491139
83	41 river st, new canaan, ct 06840	41.152767	-73.4901639
84	32 twin pond ln, new canaan, ct 06840	41.168402	-73.49239
85	11 strawberry hill rd, new canaan, ct 06840	41.156295	-73.492846
86	165 river st, new canaan, ct 06840	41.156215	-73.493098
87	95 forest st unit 95, new canaan, ct 06840	41.151121	-73.492749
88	705 west rd, new canaan, ct 06840	41.173228	-73.526117
89	711 west rd, new canaan, ct 06840	41.174327	-73.526696
90	1056 oenoke rdg, new canaan, ct 06840	41.179088	-73.522048
91	127 orchard dr, new canaan, ct 06840	41.134332	-73.494234
92	97 forest st unit 97, new canaan, ct 06840	41.15103	-73.492535
93	74 thayer dr, new canaan, ct 06840	41.167274	-73.473731
94	103 south ave, new canaan, ct 06840	41.143243	-73.4926
95	50 windrow ln, new canaan, ct 06840	41.151842	-73.511173
96	339 elm st, new canaan, ct 06840	41.145321	-73.502922
97	751 weed st, new canaan, ct 06840	41.1457679	-73.504002
98	187 ferris hill rd, new canaan, ct 06840	41.17007	-73.477987
99	155 jelliff mill rd, new canaan, ct 06840	41.119512	-73.505804
100	45 oak st, new canaan, ct 06840	41.140792	-73.4889759
101	51 briscoe rd, new canaan, ct 06840	41.195241	-73.499861
102	29 shady knoll ln, new canaan, ct 06840	41.1199439	-73.506242
103	21 oak grove pl, new canaan, ct 06840	41.135049	-73.495637
104	14 white oak shade rd, new canaan, ct 06840	41.135896	-73.479544
105	558 old stamford rd, new canaan, ct 06840	41.120949	-73.498828
106	62 harrison ave, new canaan, ct 06840	41.140491	-73.488283
107	heritage hill rd unit g77, new canaan, ct 06840	41.1517283	-73.4949126
108	99 woodridge dr, new canaan, ct 06840	41.162966	-73.52242
109	100 valley rd, new canaan, ct 06840	41.161914	-73.468252
110	102 valley rd, new canaan, ct 06840	41.162543	-73.467383
111	117 fox run rd, new canaan, ct 06840	41.1856409	-73.481088
112	337 canoe hill rd, new canaan, ct 06840	41.166709	-73.483831
113	canoe hill rd, new canaan, ct 06840	41.1658931	-73.4835353
114	44 reeder ln, new canaan, ct 06840	41.163889	-73.521976
115	97 south ave apt f, new canaan, ct 06840	41.143497	-73.492872
116	97 south ave apt a, new canaan, ct 06840	41.143497	-73.492872
117	95 south ave unit 1, new canaan, ct 06840	41.143338	-73.493099
118	83 south ave unit 9, new canaan, ct 06840	41.143982	-73.492881
119	83 south ave unit 8, new canaan, ct 06840	41.143982	-73.492881
120	83 south ave unit 7, new canaan, ct 06840	41.143982	-73.492881
121	83 south ave unit 6, new canaan, ct 06840	41.143982	-73.492881
122	83 south ave unit 5, new canaan, ct 06840	41.143982	-73.492881
123	83 south ave unit 4, new canaan, ct 06840	41.143982	-73.492881
124	83 south ave unit 3, new canaan, ct 06840	41.143982	-73.492881
125	83 south ave unit 2, new canaan, ct 06840	41.143982	-73.492881
126	83 south ave unit 10, new canaan, ct 06840	41.143982	-73.492881
127	83 south ave apt f, new canaan, ct 06840	41.143982	-73.492881
128	83 south ave apt d, new canaan, ct 06840	41.143982	-73.492881
129	96 winfield ln, new canaan, ct 06840	41.14238	-73.523081
130	506 country club rd w, new canaan, ct 06840	41.16575	-73.516598
131	77 cedar ln, new canaan, ct 06840	41.1524829	-73.465522
132	172 dans hwy, new canaan, ct 06840	41.171465	-73.533864
133	47 river st, new canaan, ct 06840	41.152995	-73.490413
134	218 park st, new canaan, ct 06840	41.141981	-73.4941039
135	605 valley rd, new canaan, ct 06840	41.1753519	-73.479737
136	540 old stamford rd, new canaan, ct 06840	41.121035	-73.498346
137	155 millport ave, new canaan, ct 06840	41.142525	-73.484955
138	12 douglas rd, new canaan, ct 06840	41.134195	-73.489272
139	88 jelliff mill rd, new canaan, ct 06840	41.118267	-73.502967
140	360 n wilton rd, new canaan, ct 06840	41.193984	-73.499694
141	45 southwood dr, new canaan, ct 06840	41.130814	-73.492644
142	60 southwood dr, new canaan, ct 06840	41.130321	-73.49191
143	1690 oenoke rdg, new canaan, ct 06840	41.18472	-73.535775
144	57 four winds ln, new canaan, ct 06840	41.1502849	-73.526793
145	58 harrison ave, new canaan, ct 06840	41.1402659	-73.488404
146	265 brushy ridge rd, new canaan, ct 06840	41.1563339	-73.4846836
147	39 southwood dr, new canaan, ct 06840	41.131075	-73.492748
148	6 smith ridge ln, new canaan, ct 06840	41.1757579	-73.5011975
149	59 elm pl, new canaan, ct 06840	41.136254	-73.484793
150	75 thayer dr, new canaan, ct 06840	41.166642	-73.475475
151	935 west rd, new canaan, ct 06840	41.179813	-73.530585
152	heritage hill rd unit g36, new canaan, ct 06840	41.1517283	-73.4949126
153	38 river st, new canaan, ct 06840	41.152464	-73.49049
154	803 silvermine rd, new canaan, ct 06840	41.156577	-73.457602
155	941 ponus rdg, new canaan, ct 06840	41.145103	-73.524929
156	30 thayer dr, new canaan, ct 06840	41.168099	-73.47341
157	96 frogtown rd, new canaan, ct 06840	41.141533	-73.507302
158	76 salem rd, new canaan, ct 06840	41.161446	-73.472098
159	33 river st, new canaan, ct 06840	41.15256	-73.489898
160	1124 valley rd, new canaan, ct 06840	41.191415	-73.487933
161	30 twin pond ln, new canaan, ct 06840	41.16795	-73.492396
162	113 gower rd, new canaan, ct 06840	41.132716	-73.49311
163	137 orchard dr, new canaan, ct 06840	41.134295	-73.494635
164	heritage hill rd unit g81, new canaan, ct 06840	41.1517283	-73.4949126
165	930 oenoke rdg, new canaan, ct 06840	41.1749	-73.517865
166	955 ponus rdg, new canaan, ct 06840	41.1453289	-73.526295
167	heritage hill rd unit g45, new canaan, ct 06840	41.1517283	-73.4949126
168	83 hawthorne rd, new canaan, ct 06840	41.136347	-73.48524
169	south ave, new canaan, ct 06840	41.1313208	-73.4873611
170	417 silvermine rd, new canaan, ct 06840	41.157094	-73.47019
171	421 silvermine rd, new canaan, ct 06840	41.157706	-73.469928
172	429 silvermine rd, new canaan, ct 06840	41.158261	-73.470459
173	120 douglas rd, new canaan, ct 06840	41.13301	-73.493715
174	507 country club rd w, new canaan, ct 06840	41.166412	-73.51777
175	13 charles pl, new canaan, ct 06840	41.154788	-73.492034
176	9 charles pl, new canaan, ct 06840	41.154722	-73.492198
177	72 jelliff mill rd, new canaan, ct 06840	41.1181849	-73.502255
178	164 old stamford rd, new canaan, ct 06840	41.132958	-73.495433
179	145 orchard dr, new canaan, ct 06840	41.134138	-73.49555
180	500 laurel rd, new canaan, ct 06840	41.18304	-73.493869
181	148 douglas rd, new canaan, ct 06840	41.133381	-73.4950719
182	157 parry rd, new canaan, ct 06840	41.116818	-73.520491
183	147 parry rd, new canaan, ct 06840	41.116363	-73.521477
184	25 parry ct, new canaan, ct 06840	41.1180038	-73.5219374
185	110 ponus rdg, new canaan, ct 06840	41.117275	-73.519108
186	108 ponus rdg, new canaan, ct 06840	41.117409	-73.518295
187	114 ponus rdg, new canaan, ct 06840	41.117814	-73.519147
188	30 ponus rdg, new canaan, ct 06840	41.115371	-73.516743
